std,n_points,dimension,setup1,construct1,reduce1,setup2,construct2,reduce2,update,nnz_old_U,nnz_reb_U,nnz_upd_U,nnz_old_R,nnz_reb_R,nnz_upd_R
0.001,20,2,5.317851901054382e-05,0.00016512908041477203,0.0006112903356552124,5.1956623792648315e-05,0.0001638513058423996,0.0005972236394882202,0.00036164000630378723,5435,5435,5435,462,462,462
0.001,20,2,0.0001138877123594284,0.00016336701810359955,0.0006119720637798309,5.2012503147125244e-05,0.00016499124467372894,0.0005969814956188202,0.0003613121807575226,5435,5435,5435,462,462,462
0.001,20,2,0.00011348538100719452,0.00017012283205986023,0.0006033442914485931,5.2461400628089905e-05,0.0001711808145046234,0.0005919579416513443,0.00036486051976680756,5435,5435,5435,462,462,462
0.001,20,2,0.00011467933654785156,0.00016457587480545044,0.0006093159317970276,5.233846604824066e-05,0.00016540847718715668,0.0005938392132520676,0.0003676135092973709,5435,5435,5435,462,462,462
0.001,20,2,0.0001148805022239685,0.00016273558139801025,0.0006078723818063736,5.2072107791900635e-05,0.00016626529395580292,0.0005951225757598877,0.00036014802753925323,5435,5435,5435,462,462,462
0.001,20,2,5.329027771949768e-05,0.00016478076577186584,0.0006103087216615677,5.2386894822120667e-05,0.00016491301357746124,0.0005975458770990372,0.00036271102726459503,5435,5435,5435,462,462,462
0.001,20,2,5.249306559562683e-05,0.0001694224774837494,0.0006039328873157501,5.2191317081451416e-05,0.00017045624554157257,0.0005952082574367523,0.00036521442234516144,5435,5435,5435,462,462,462
0.001,20,3,4.934333264827728e-05,0.00044109486043453217,0.0027601458132267,6.81653618812561e-05,0.0004520304501056671,0.002905268222093582,0.0014219935983419418,19383,18324,18325,2662,2612,2613
0.001,20,3,6.375275552272797e-05,0.00044319964945316315,0.0024803224951028824,6.72023743391037e-05,0.0004444196820259094,0.0023538395762443542,0.001132069155573845,19383,18324,18325,2662,2612,2613
0.001,20,3,6.35199248790741e-05,0.0004478469491004944,0.0024760570377111435,6.688758730888367e-05,0.0004510655999183655,0.0023339036852121353,0.0011286064982414246,19383,18324,18325,2662,2612,2613
0.001,20,3,6.427057087421417e-05,0.0004449896514415741,0.002479463815689087,7.031671702861786e-05,0.00044606998562812805,0.0023803338408470154,0.0011311285197734833,19383,18324,18325,2662,2612,2613
0.001,20,3,6.422959268093109e-05,0.00044144317507743835,0.0024719201028347015,7.070042192935944e-05,0.0004462301731109619,0.0023484956473112106,0.0011305660009384155,19383,18324,18325,2662,2612,2613
0.001,20,3,6.33634626865387e-05,0.0004500932991504669,0.0024672523140907288,6.95306807756424e-05,0.00045292824506759644,0.0023319218307733536,0.0011274274438619614,19383,18324,18325,2662,2612,2613
0.001,20,3,6.450340151786804e-05,0.00044209323823451996,0.0024782679975032806,6.924755871295929e-05,0.000456368550658226,0.0023443233221769333,0.0011272206902503967,19383,18324,18325,2662,2612,2613
0.001,20,3,7.045641541481018e-05,0.000441916286945343,0.0024870410561561584,7.199868559837341e-05,0.00044707581400871277,0.002344418317079544,0.0011317748576402664,19383,18324,18325,2662,2612,2613
0.001,20,3,8.15168023109436e-05,0.00044917501509189606,0.0025228839367628098,7.967650890350342e-05,0.00045144371688365936,0.0023831240832805634,0.0011319126933813095,19383,18324,18325,2662,2612,2613
0.001,20,3,6.50361180305481e-05,0.0004436187446117401,0.0024917591363191605,6.805174052715302e-05,0.00045510753989219666,0.0023479070514440536,0.0011284947395324707,19383,18324,18325,2662,2612,2613
0.001,20,3,6.4140185713768e-05,0.00044542737305164337,0.002476971596479416,6.723403930664062e-05,0.0004434138536453247,0.002337448298931122,0.001123303547501564,19383,18324,18325,2662,2612,2613
0.001,20,3,6.358139216899872e-05,0.00044919177889823914,0.0024699848145246506,6.71781599521637e-05,0.0004504397511482239,0.0023269206285476685,0.0011203549802303314,19383,18324,18325,2662,2612,2613
0.001,20,3,6.4043328166008e-05,0.00044087134301662445,0.002477576956152916,6.765313446521759e-05,0.0004469938576221466,0.0023446697741746902,0.0011263471096754074,19383,18324,18325,2662,2612,2613
0.001,20,3,6.311945617198944e-05,0.0004485268145799637,0.0024759527295827866,6.747990846633911e-05,0.00045049190521240234,0.002332417294383049,0.001125384122133255,19383,18324,18325,2662,2612,2613
0.001,20,3,6.470829248428345e-05,0.0004420001059770584,0.002477576956152916,6.7930668592453e-05,0.0004461556673049927,0.0023524779826402664,0.001123407855629921,19383,18324,18325,2662,2612,2613
0.001,20,3,6.378814578056335e-05,0.00044197775423526764,0.002484651282429695,6.75935298204422e-05,0.00044644996523857117,0.002346023917198181,0.0011243373155593872,19383,18324,18325,2662,2612,2613
0.001,20,3,6.311014294624329e-05,0.00045203231275081635,0.00247211754322052,6.749294698238373e-05,0.00045415014028549194,0.0023329462856054306,0.0011249836534261703,19383,18324,18325,2662,2612,2613
0.001,20,3,6.411038339138031e-05,0.00044233351945877075,0.002474401146173477,6.843917071819305e-05,0.0004442427307367325,0.0023398343473672867,0.0011223945766687393,19383,18324,18325,2662,2612,2613
0.001,20,3,6.254017353057861e-05,0.0004493445158004761,0.0024655014276504517,6.724894046783447e-05,0.00045154988765716553,0.002330327406525612,0.001121383160352707,19383,18324,18325,2662,2612,2613
0.001,20,3,6.354600191116333e-05,0.0004444979131221771,0.002473827451467514,6.738118827342987e-05,0.0004448164254426956,0.0023478996008634567,0.0011229049414396286,19383,18324,18325,2662,2612,2613
0.001,40,2,5.331449210643768e-05,0.0014041177928447723,0.01200036145746708,5.8146193623542786e-05,0.0014111902564764023,0.013117242604494095,0.00614088773727417,100384,100433,100433,2158,2158,2158
0.001,40,2,7.494725286960602e-05,0.0014118514955043793,0.010494686663150787,5.7388097047805786e-05,0.001429552212357521,0.01052655465900898,0.004884883761405945,100384,100433,100433,2158,2158,2158
0.001,40,2,7.41034746170044e-05,0.0014096423983573914,0.010446315631270409,5.731731653213501e-05,0.001427777111530304,0.010511204600334167,0.004816601052880287,100384,100433,100433,2158,2158,2158
0.001,40,2,7.396377623081207e-05,0.0014089588075876236,0.010464981198310852,5.6782737374305725e-05,0.0014269575476646423,0.010548640042543411,0.004805523902177811,100384,100433,100433,2158,2158,2158
