std,n_points,dimension,standard_basis,standard_no_basis,clearing,compression,update
0.005,100,3,12.19986492022872,6.88616856187582,6.644271831959486,5.479274580255151,12.902776962146163
0.005,100,3,12.163729963824153,6.861349336802959,6.511598963290453,5.450687855482101,12.824733944609761
0.005,100,3,12.02152106538415,6.771455788984895,6.374220829457045,5.3744464591145515,12.79619261994958
0.005,100,3,11.904631117358804,6.850099286064506,6.566169621422887,5.44035661034286,12.922219792380929
0.005,100,3,12.048124240711331,6.890990627929568,6.605143623426557,5.471811547875404,12.926824059337378
0.005,100,3,12.162920948117971,6.8852343168109655,6.6204473953694105,5.475381540134549,12.914389600977302
0.005,100,3,12.168051294982433,6.891534054651856,6.614207115024328,5.461036778986454,12.866393873468041
0.005,100,3,12.101466400548816,6.876240938901901,6.503085292875767,5.430174920707941,12.875198194757104
0.005,100,3,12.152598356828094,6.894489090889692,6.605506418272853,5.457032363861799,12.921050826087594
0.005,100,3,11.916288072243333,6.768625114113092,6.500156482681632,5.343257062137127,12.830949129536748
0.005,100,3,11.720527241006494,6.81110106408596,6.536555314436555,5.390247445553541,12.861615682020783
0.005,100,3,11.971142239868641,6.862000532448292,6.4201512429863214,5.377075320109725,12.828449944034219
0.005,100,3,11.937505709007382,6.889245957136154,6.598071180284023,5.458423087373376,12.960761304944754
