dataset,standard_basis,standard_no_basis,clearing,compression,update,topologylayer,gudhi,dionysus,ripser
sphere-0.001-50-2,0.028843732550740242,0.01608116552233696,0.015995940193533897,0.015382139012217522,0.010458886623382568,0,0.0049116648733615875,0.05170369707047939,0.013226861134171486
sphere-0.001-50-2,0.028656424954533577,0.01609845645725727,0.016022613272070885,0.01540195383131504,0.01047605276107788,0,0.004928130656480789,0.05093204230070114,0.013268928974866867
sphere-0.001-50-2,0.028646867722272873,0.016092520207166672,0.01600971259176731,0.015391245484352112,0.010472463443875313,0,0.004929957911372185,0.05094972252845764,0.01322638988494873
sphere-0.001-50-2,0.028709640726447105,0.016077803447842598,0.01599358767271042,0.015347609296441078,0.010453790426254272,0,0.004926251247525215,0.05109618790447712,0.013264061883091927
sphere-0.001-50-2,0.028589555993676186,0.016069889068603516,0.015998007729649544,0.015366988256573677,0.010632596909999847,0,0.004921671003103256,0.05097267031669617,0.013254893943667412
sphere-0.001-50-2,0.028608422726392746,0.016188038513064384,0.016061240807175636,0.015395553782582283,0.010466916486620903,0,0.004928085952997208,0.05096316896378994,0.013231026008725166
sphere-0.001-50-2,0.028802167624235153,0.01611909456551075,0.016016926616430283,0.015370557084679604,0.010473251342773438,0,0.004941463470458984,0.051097672432661057,0.013220228254795074
sphere-0.001-50-2,0.028790419921278954,0.01611616648733616,0.016038816422224045,0.01537294127047062,0.010478945448994637,0,0.004926122725009918,0.05100727081298828,0.01325492188334465
sphere-0.001-50-2,0.028692416846752167,0.016122564673423767,0.016002893447875977,0.01541411504149437,0.010506058111786842,0,0.004925329238176346,0.05093502439558506,0.01321285031735897
sphere-0.001-50-2,0.028819499537348747,0.016090603545308113,0.01599758304655552,0.015388594940304756,0.010450422763824463,0,0.004920860752463341,0.0514297429472208,0.013235026970505714
sphere-0.001-50-2,0.02857772447168827,0.016101118177175522,0.016027752310037613,0.015351135283708572,0.010464398190379143,0,0.004928726702928543,0.0512231457978487,0.013234317302703857
sphere-0.001-50-2,0.028646297752857208,0.016152122989296913,0.016079025343060493,0.015364490449428558,0.010456038638949394,0,0.004924153909087181,0.05116515979170799,0.013231948018074036
sphere-0.001-50-3,0.4474657475948334,0.2389615662395954,0.2228582762181759,0.19054786302149296,0.1853993721306324,0,0.06839691288769245,0.6551392953842878,0.12333681993186474
sphere-0.001-50-3,0.4024971276521683,0.23707956075668335,0.22292351350188255,0.1911147404462099,0.17327961325645447,0,0.06844487972557545,0.6526867691427469,0.1234650257974863
sphere-0.001-50-3,0.4024770427495241,0.23722724802792072,0.22218946926295757,0.19340952299535275,0.1731766015291214,0,0.06815340556204319,0.6515430640429258,0.12538187950849533
sphere-0.001-50-3,0.40227643214166164,0.23698306642472744,0.2246037758886814,0.19299560971558094,0.17431346327066422,0,0.06813276000320911,0.6549830716103315,0.12433462031185627
sphere-0.001-50-3,0.40186313167214394,0.23692407831549644,0.2236823718994856,0.19227201119065285,0.17260976508259773,0,0.06849292665719986,0.6506736055016518,0.12373977340757847
sphere-0.001-50-3,0.4005292672663927,0.23865444213151932,0.22421405650675297,0.19189877808094025,0.17313029430806637,0,0.06819402799010277,0.6579730398952961,0.12328207120299339
sphere-0.001-50-3,0.39938799291849136,0.23843932710587978,0.22352690622210503,0.19383625872433186,0.173046188428998,0,0.06836319901049137,0.657757680863142,0.12395858392119408
sphere-0.001-50-3,0.39953829161822796,0.2398540247231722,0.22447081096470356,0.19356457516551018,0.17302981950342655,0,0.06854277849197388,0.6559488549828529,0.12394867092370987
sphere-0.001-50-3,0.40078508853912354,0.24016968347132206,0.22453498281538486,0.1938872430473566,0.17526859417557716,0,0.06838854774832726,0.6541062593460083,0.12377669289708138
sphere-0.001-50-3,0.4013373367488384,0.23923594504594803,0.22485676780343056,0.19266273081302643,0.17426354996860027,0,0.06829753704369068,0.6553272511810064,0.12346978299319744
sphere-0.001-50-3,0.401681300252676,0.2380513045936823,0.22497094422578812,0.19345913641154766,0.17342900857329369,0,0.0685635358095169,0.6556317750364542,0.12349574267864227
sphere-0.001-50-3,0.40339590422809124,0.23978306911885738,0.2249074224382639,0.1940636895596981,0.17316867411136627,0,0.068356242030859,0.6688532996922731,0.1237675454467535
sphere-0.001-50-3,0.4021906815469265,0.2391210962086916,0.22514778934419155,0.1933262199163437,0.1733740121126175,0,0.06832771934568882,0.657246632501483,0.12441280111670494
sphere-0.001-50-3,0.4008354917168617,0.2396158929914236,0.2248932644724846,0.19318231008946896,0.17311730980873108,0,0.06848468072712421,0.6550433915108442,0.12396863661706448
